vendor,current_price,old_price,product_name,month
Metro,48.82,39.62,Organic,10
TandT,42.42,22.08,Organic,2
Walmart,7.92,10.09,Organic,2
Metro,45.84,25.9,Organic,5
NoFrills,32.19,51.52,Organic,9
NoFrills,11.33,19.98,Organic,2
Metro,23.02,41.3,Organic,5
Walmart,20.72,45.16,Organic,8
Walmart,48.62,11.19,Organic,8
TandT,28.24,59.88,Organic,11
TandT,19.22,28.08,Organic,5
NoFrills,29.88,36.38,Organic,6
NoFrills,26.62,11.29,Organic,10
Walmart,21.48,10.21,Organic,4
Walmart,29.55,3.96,Organic,1
Metro,17.35,18.2,Organic,1
Walmart,29.82,15.94,Organic,1
NoFrills,34.16,27.8,Organic,11
NoFrills,32.43,32.52,Organic,11
Walmart,5.62,55.41,Organic,9
Metro,33.81,33.28,Organic,11
TandT,40.66,55.13,Organic,10
TandT,11.36,40.45,Organic,10
NoFrills,4.22,55.84,Organic,12
NoFrills,31.42,49.32,Organic,2
Metro,37.79,23.55,Organic,9
Walmart,30.73,47.74,Organic,8
TandT,46.64,18.78,Organic,1
Metro,28.99,22.43,Organic,7
Walmart,45.84,17.91,Organic,11
NoFrills,38.52,13.58,Organic,7
Walmart,18.75,45.08,Organic,5
Walmart,12.09,57.68,Organic,6
Walmart,41.69,13.91,Organic,2
NoFrills,1.98,52.57,Organic,2
Walmart,25.78,42.39,Organic,1
Metro,4.4,20.54,Organic,7
Walmart,36.38,18.28,Organic,1
Walmart,9,49.99,Organic,7
Metro,34.96,51.41,Organic,8
TandT,45.35,12.75,Organic,10
Walmart,17.51,18.94,Organic,6
Metro,5.61,5.82,Organic,12
Metro,8.93,17.02,Organic,3
Metro,39.02,8.1,Organic,2
Metro,46.19,57.89,Organic,3
TandT,33.77,22.5,Organic,10
TandT,40.71,46.5,Organic,11
Walmart,6.98,49.21,Organic,4
Metro,2.58,28.33,Organic,12
Metro,6.83,59.42,Organic,4
Walmart,22.56,31.92,Organic,2
NoFrills,7.25,52.08,Organic,9
NoFrills,46.6,24.52,Organic,7
Metro,2.76,11.69,Organic,7
TandT,24.43,3.14,Organic,3
Walmart,33.17,31.5,Organic,12
TandT,43.63,21.05,Organic,3
Walmart,21.19,6.88,Organic,9
Metro,33.06,10.65,Organic,4
Metro,45.62,38.88,Organic,8
Walmart,31.08,36.24,Organic,5
Metro,34.86,11.59,Organic,5
Walmart,2.43,2.41,Organic,10
NoFrills,17.97,54.34,Organic,3
Metro,28.6,48.19,Organic,7
NoFrills,2.34,24.3,Organic,7
Walmart,8.03,11.32,Organic,11
Walmart,26.68,23.53,Organic,7
Walmart,5.53,6.63,Organic,2
Walmart,45.19,40.92,Organic,1
NoFrills,9.17,30.93,Organic,9
TandT,6.46,53.69,Organic,2
NoFrills,49.35,24.52,Organic,8
TandT,1.48,26.18,Organic,7
Walmart,17.6,50.99,Organic,12
Walmart,1.68,56.55,Organic,5
TandT,47.64,15.06,Organic,12
Walmart,28.27,48.78,Organic,3
Walmart,7.7,57.56,Organic,5
Walmart,3.6,59.65,Organic,12
Walmart,0.61,31.04,Organic,4
TandT,34.51,42.39,Organic,1
TandT,6.46,9.83,Organic,9
Metro,12.98,46.74,Organic,10
Metro,46.23,40.15,Organic,3
Metro,35.2,14.5,Organic,4
Walmart,40.43,7.83,Organic,11
TandT,23.19,37.39,Organic,11
NoFrills,45.74,6.15,Organic,7
Walmart,23.45,52.11,Organic,11
NoFrills,31.77,21,Organic,12
TandT,17.25,58.67,Organic,6
Metro,35.95,48.8,Organic,5
NoFrills,28.87,34.65,Organic,4
TandT,11.18,24.72,Organic,2
Metro,17.39,35.62,Organic,12
NoFrills,23.88,47.28,Organic,4
NoFrills,49.68,55.81,Organic,12
TandT,18.17,7.18,Organic,12
Metro,29.92,15.14,Organic,8
TandT,0.98,16.45,Organic,10
TandT,42.06,49.75,Organic,6
NoFrills,5.68,26.32,Organic,4
TandT,27.72,45.69,Organic,12
TandT,24.79,21.16,Organic,12
NoFrills,30.09,40.04,Organic,8
TandT,44.68,43.02,Organic,10
NoFrills,9.97,22.2,Organic,8
Metro,31.23,53.16,Organic,7
TandT,28.32,14.59,Organic,6
Walmart,37.86,6.99,Organic,2
TandT,45.72,50.71,Organic,11
Walmart,0.79,46.14,Organic,12
NoFrills,45.46,37.35,Organic,10
NoFrills,11.42,42.24,Organic,5
Walmart,21.06,58.28,Organic,9
NoFrills,12.24,3.32,Organic,11
Walmart,0.59,7.47,Organic,6
Metro,29.7,43.5,Organic,12
NoFrills,12.88,51.62,Organic,9
NoFrills,8.4,41.27,Organic,1
Metro,4.49,35.95,Organic,8
Walmart,29.9,31.99,Organic,2
TandT,37.88,53.51,Organic,1
Walmart,1.89,16.8,Organic,5
Metro,30.23,22.97,Organic,6
TandT,1.6,5.28,Organic,12
TandT,23.2,9.13,Organic,12
Metro,30.63,22.87,Organic,6
NoFrills,22.02,54.03,Organic,7
Metro,46.66,25.62,Organic,2
NoFrills,25.37,58.52,Organic,8
Metro,47.5,10.38,Organic,2
NoFrills,3.29,49.99,Organic,4
NoFrills,19.52,41.66,Organic,1
Walmart,38.49,10.05,Organic,5
TandT,8.51,58.61,Organic,4
Metro,19.91,42.13,Organic,6
Metro,6.25,15.27,Organic,6
NoFrills,23.11,58.56,Organic,1
TandT,7.87,14.03,Organic,1
NoFrills,17.76,29.09,Organic,11
NoFrills,48.53,54.43,Organic,10
NoFrills,11.36,19.38,Organic,6
TandT,47.91,4.29,Organic,12
TandT,6.57,55.29,Organic,9
Metro,0.77,42.57,Organic,1
NoFrills,5.02,24.6,Organic,9
Metro,23.86,49.6,Organic,4
Walmart,44.21,40.26,Organic,11
Walmart,35.21,34.97,Organic,7
TandT,13.48,2.82,Organic,10
TandT,3.65,49.76,Organic,2
NoFrills,46.5,42.26,Organic,7
NoFrills,40.31,51.75,Organic,7
Walmart,32.78,51.89,Organic,3
TandT,21.37,54.61,Organic,12
NoFrills,23.24,36.38,Organic,12
Walmart,32.97,22.4,Organic,8
Walmart,19.91,24.68,Organic,6
Metro,17.6,37.44,Organic,4
TandT,38.2,6.76,Organic,8
NoFrills,17.48,32.22,Organic,9
NoFrills,7.33,13.04,Organic,11
Walmart,15.37,3.37,Organic,6
Walmart,7.72,21.42,Organic,7
TandT,13.94,44.77,Organic,9
TandT,4.5,45.48,Organic,11
NoFrills,35.56,59.23,Organic,5
NoFrills,29.11,4.12,Organic,10
Metro,21.18,47.23,Organic,7
Metro,31.89,42.34,Organic,5
Metro,5.9,24.03,Organic,6
TandT,22.68,36.38,Organic,3
TandT,10.37,2.32,Organic,8
NoFrills,24.15,36.85,Organic,10
NoFrills,11.93,28.87,Organic,12
Metro,45.37,17.48,Organic,8
NoFrills,33.41,53.4,Organic,2
TandT,23.02,14.62,Organic,3
Metro,3.01,20.18,Organic,8
TandT,0.72,52.25,Organic,5
TandT,26.03,18.72,Organic,1
TandT,49.02,46.26,Organic,3
NoFrills,46.04,31.49,Organic,7
Walmart,8.27,45.79,Organic,3
Metro,21.68,10.01,Organic,5
Walmart,47.56,47.65,Organic,1
Metro,32.81,6.19,Organic,12
TandT,33.5,16.82,Organic,7
Metro,34,16.09,Organic,5
TandT,35.77,51.73,Organic,4
Metro,40.31,15.6,Organic,1
Metro,29.79,18.53,Organic,6
Walmart,31.47,41.9,Organic,1
TandT,20.33,57.91,Organic,2
NoFrills,29.35,43.18,Organic,10
NoFrills,10.64,25.93,Organic,8
NoFrills,3.88,45.29,Organic,1
TandT,19.4,32.23,Organic,9
TandT,20.55,7.85,Organic,2
NoFrills,6.41,42.47,Organic,11
NoFrills,29.22,28.75,Organic,8
Walmart,36.02,25.92,Organic,2
NoFrills,43.67,54.23,Organic,2
NoFrills,7.46,10.9,Organic,9
Walmart,34.11,49.2,Organic,10
Walmart,34.5,3.45,Organic,5
Metro,31.78,13.75,Organic,8
NoFrills,15.99,9.73,Organic,5
TandT,38.04,16.69,Organic,5
Metro,48.73,50.08,Organic,2
Metro,41.94,35.91,Organic,6
NoFrills,17.4,44.77,Organic,6
Walmart,37.76,51.25,Organic,11
Metro,38.36,41.96,Organic,6
NoFrills,18.56,59.59,Organic,4
Metro,17.19,58.7,Organic,1
Metro,39.64,23.22,Organic,4
NoFrills,25.8,6.92,Organic,10
NoFrills,21.12,4.99,Organic,2
TandT,11.06,4.14,Organic,12
NoFrills,12.98,32.81,Organic,3
TandT,27.25,13.75,Organic,1
NoFrills,38.65,33.93,Organic,5
Metro,46.72,1.93,Organic,1
Walmart,14.03,44.74,Organic,2
Metro,24.56,29.29,Organic,10
Metro,45.37,7.6,Organic,11
Metro,5.23,52.98,Organic,5
Metro,41.39,48.05,Organic,7
Walmart,26.96,16.14,Organic,3
NoFrills,14,36.16,Organic,9
NoFrills,39.89,56.72,Organic,12
NoFrills,34.75,3.5,Organic,6
NoFrills,46.85,43.62,Organic,11
NoFrills,19.69,37.76,Organic,7
TandT,7.77,24.32,Organic,10
NoFrills,20.62,30.84,Organic,10
Metro,5.28,39.89,Organic,5
TandT,46.96,51.03,Organic,4
Metro,15.92,53.71,Organic,10
Walmart,2.76,20.14,Organic,8
Metro,24.38,33.12,Organic,9
Metro,49.51,15.94,Organic,3
Metro,8.81,23.4,Organic,3
Walmart,45.3,54.59,Organic,10
NoFrills,33.18,51.56,Organic,11
TandT,46.41,47.96,Organic,9
Metro,3.06,43.06,Organic,11
Metro,24.63,24.87,Organic,6
Metro,44.21,26.42,Organic,1
TandT,23.74,14.57,Organic,12
Metro,28.37,39.48,Organic,12
NoFrills,38.59,1.72,Organic,4
Walmart,21.56,38.98,Organic,5
NoFrills,42.16,20.67,Organic,7
TandT,30.38,20.93,Organic,10
NoFrills,39.32,13.25,Organic,9
Metro,49.27,15.84,Organic,10
NoFrills,22.71,26.21,Organic,1
Walmart,31.03,42.86,Organic,5
Walmart,17.55,41.71,Organic,6
Metro,37.66,4.66,Organic,8
TandT,2.01,11.46,Organic,3
TandT,3.5,16.23,Organic,10
Metro,40.27,52.62,Organic,10
Walmart,33.02,58.12,Organic,9
TandT,44.73,14.82,Organic,3
NoFrills,30.85,17.76,Organic,1
TandT,30.68,34.56,Organic,6
TandT,49.41,1.51,Organic,1
Metro,14.18,30.48,Organic,9
TandT,11.73,55.61,Organic,12
NoFrills,45.08,34.9,Organic,1
NoFrills,4.85,44.89,Organic,2
TandT,44.91,32.32,Organic,3
Walmart,35.28,5.46,Organic,6
Walmart,16.43,20.6,Organic,12
Metro,36.63,38.57,Organic,5
NoFrills,34.29,52.43,Organic,8
TandT,16.61,22.78,Organic,2
Walmart,38.99,7.76,Organic,12
Metro,27.18,50.7,Organic,8
Metro,23.67,14.78,Organic,10
Metro,48.3,11.31,Organic,8
Metro,36.45,9.77,Organic,12
NoFrills,34.98,29.73,Organic,4
TandT,17.54,47.35,Organic,5
Walmart,7.09,43.27,Organic,7
